time,latitude,longitude,depth,mag,Nearest City,Distance,label
2022-03-20,37.901,142.0474,55.22,4.2,Sendai,111.05101430346676,False
2022-03-20,40.0304,142.37,51.37,4.1,>200 KM of Nearest City,235.0823906601605,False
2022-03-19,39.4591,143.4224,19.85,4.6,>200 KM of Nearest City,257.94830484616364,False
2022-03-19,37.8058,141.9154,57.04,4.1,Sendai,105.17559674329942,False
2022-03-19,37.9044,141.9187,44.27,4.2,Sendai,100.49973635343098,False
2022-03-19,37.7578,141.6295,57.63,4.3,Sendai,87.5664299740512,False
2022-03-18,37.7666,141.7811,51.92,5.1,Sendai,97.51344266998572,True
2022-03-18,40.1122,141.977,29.59,5.1,>200 KM of Nearest City,226.42256582439404,True
2022-03-18,37.9762,141.728,63.78,4.4,Sendai,81.97760297767311,False
2022-03-18,37.6823,141.9159,63.59,4.4,Sendai,112.60626943359773,False
2022-03-18,37.7478,141.9925,67.3,4.2,Sendai,114.27197812221428,False
2022-03-17,37.9753,142.1197,50.86,4.2,Sendai,114.29959098251999,False
2022-03-17,37.975,142.0485,56.4,4.7,Sendai,108.35131900995933,True
2022-03-17,37.7571,141.7807,48.62,4.7,Sendai,98.09524947365077,True
2022-03-17,37.6164,142.0896,54.23,4.1,Sendai,129.33904291279416,False
2022-03-17,37.6438,141.8229,52.3,4.2,Sendai,108.74561264827882,False
2022-03-17,37.7623,141.9052,35.0,4.3,Sendai,106.87679728330046,False
2022-03-17,36.8408,139.3515,181.1,4.0,Tokyo,131.60699701186726,False
2022-03-17,33.4589,138.9998,200.92,4.3,>200 KM of Nearest City,255.98416036826407,False
2022-03-17,37.7995,142.0237,58.74,4.1,Sendai,113.87399830052802,False
2022-03-17,42.8937,139.4145,210.18,4.3,>200 KM of Nearest City,308.6677349419495,False
2022-03-16,37.8398,141.9106,47.24,4.0,Sendai,102.99422230451314,False
2022-03-16,37.8641,141.8659,52.5,4.0,Sendai,98.2644876690989,False
2022-03-16,37.714,141.7449,54.05,4.2,Sendai,98.48732186326319,False
2022-03-16,37.8214,141.8993,53.87,4.5,Sendai,103.09401684229766,False
2022-03-16,37.7948,141.8903,57.3,4.6,Sendai,103.87976624272318,False
2022-03-16,37.7947,141.7693,51.46,4.4,Sendai,94.8905917271079,False
2022-03-16,37.8171,142.0053,45.47,4.4,Sendai,111.5410811712798,False
2022-03-16,37.7137,141.6837,47.22,4.2,Sendai,94.37755846797579,False
2022-03-16,37.8061,141.8531,55.01,5.5,Sendai,100.42900452828536,True
2022-03-16,37.6772,141.9689,55.55,4.2,Sendai,116.75136483217516,False
2022-03-16,37.7478,142.0215,53.53,4.2,Sendai,116.47215910741545,False
2022-03-16,37.6926,141.9748,55.23,4.4,Sendai,116.2220446230487,False
2022-03-16,37.7798,141.9317,60.41,5.2,Sendai,107.86060559289507,True
2022-03-16,37.8641,141.7954,58.56,5.2,Sendai,92.8128691977827,True
2022-03-16,37.8632,141.765,66.74,5.0,Sendai,90.54061049181138,True
2022-03-16,37.8532,142.1402,49.07,5.3,Sendai,120.6046522188105,True
2022-03-16,37.7302,141.5951,59.85,7.3,Sendai,87.36364919418496,True
2022-03-16,37.6468,141.6735,57.18,6.0,Sendai,98.7653261953228,True
2022-03-16,37.6639,142.6419,31.46,4.2,Sendai,169.440027725364,False
2022-03-15,31.7436,141.7554,10.0,4.5,>200 KM of Nearest City,478.4430775438524,False
2022-03-14,32.3854,141.7757,10.0,4.2,>200 KM of Nearest City,414.52164941577047,False
2022-03-13,41.6328,141.3806,101.2,4.2,>200 KM of Nearest City,207.15032653705478,False
2022-03-11,35.5957,142.6897,10.0,4.8,>200 KM of Nearest City,271.1058581055809,True
2022-03-11,34.8133,135.2084,10.0,4.3,Osaka,29.93871160152897,False
2022-03-10,36.014,139.8428,65.49,4.4,Tokyo,38.573933668969815,False
2022-03-10,39.4135,143.667,10.0,4.4,>200 KM of Nearest City,273.99846351645454,False
2022-03-09,33.3794,137.8271,337.94,4.0,>200 KM of Nearest City,217.49412024062877,False
2022-03-09,33.3948,140.8669,57.28,4.5,>200 KM of Nearest City,276.92229304445715,False
2022-03-08,31.9676,141.9306,10.0,4.4,>200 KM of Nearest City,462.6077308730095,False
2022-03-07,37.0717,143.177,10.0,4.4,>200 KM of Nearest City,242.8982782353601,False
2022-03-07,37.5263,137.2804,5.84,4.8,>200 KM of Nearest City,262.8838789304231,True
2022-03-07,35.3582,140.3189,53.7,4.2,Tokyo,67.66639190033435,False
2022-03-07,37.9615,142.285,19.65,4.4,Sendai,128.63930596536045,False
2022-03-05,32.4909,141.9231,10.0,4.4,>200 KM of Nearest City,410.721309224297,False
2022-03-04,39.606,143.6959,10.0,5.1,>200 KM of Nearest City,286.44021036157284,True
2022-03-04,39.6366,143.4995,10.0,4.7,>200 KM of Nearest City,273.9113876635244,True
2022-03-03,30.8668,141.7068,10.0,4.0,>200 KM of Nearest City,567.9888035037465,False
2022-03-03,30.7007,141.7149,10.0,4.6,>200 KM of Nearest City,585.7536359212763,False
2022-03-02,36.1458,140.0922,45.67,4.0,Tokyo,62.25713310985745,False
2022-02-28,29.4496,138.7191,469.01,4.2,>200 KM of Nearest City,657.0839261492983,False
2022-02-26,39.3263,142.4203,51.55,4.9,Sendai,178.91188392895356,True
2022-02-25,37.5261,141.2847,58.34,4.6,Sendai,90.14714247041934,False
2022-02-24,38.4181,142.2758,47.23,4.4,Sendai,124.04049330102501,False
2022-02-24,30.0945,138.9977,376.86,4.0,>200 KM of Nearest City,598.5263288062498,False
2022-02-24,37.4192,142.9545,10.0,4.8,>200 KM of Nearest City,206.1258981708497,True
2022-02-23,35.9114,140.6972,88.53,4.4,Tokyo,93.98266039200715,False
2022-02-23,39.8088,141.6777,63.37,4.3,Sendai,185.23034550040032,False
2022-02-22,42.2429,142.5154,73.02,4.3,Obihiro,93.83415979504095,False
2022-02-22,32.127,140.1029,127.9,4.0,>200 KM of Nearest City,397.93811482156235,False
2022-02-22,41.9226,142.2732,63.17,4.4,Obihiro,134.44166208955906,False
2022-02-22,32.5642,141.7934,10.0,4.6,>200 KM of Nearest City,397.70184187288197,False
2022-02-22,37.8232,141.4295,67.46,4.4,Sendai,69.7190468092285,False
2022-02-21,29.5407,140.8144,98.08,5.0,>200 KM of Nearest City,691.7313503706853,True
2022-02-21,37.5028,142.3713,35.0,4.3,Sendai,157.00261843851845,False
2022-02-21,35.919,140.8058,55.77,4.5,Tokyo,103.66506722284696,False
2022-02-21,36.2176,140.984,36.09,4.6,Tokyo,130.30753842335008,False
2022-02-20,34.0214,137.1949,343.74,4.5,Nagoya,131.65997055667398,False
2022-02-18,30.7321,131.2099,44.25,4.3,>200 KM of Nearest City,327.5162804908692,False
2022-02-18,38.2149,141.689,56.19,5.1,Sendai,72.04799835596792,True
2022-02-18,42.1375,142.1897,47.6,4.3,Obihiro,120.12986972639325,False
2022-02-17,42.0783,142.5361,50.09,4.9,Obihiro,108.18519890782147,True
2022-02-15,37.7596,142.1256,6.15,4.3,Sendai,123.86635907678578,False
2022-02-14,35.8658,140.5794,44.97,4.5,Tokyo,82.44942852781297,False
2022-02-13,30.1817,131.0326,30.64,4.5,>200 KM of Nearest City,384.51726491643836,False
2022-02-12,37.1718,138.134,201.85,4.1,>200 KM of Nearest City,215.83788287365013,False
2022-02-11,42.2496,143.1803,10.0,4.4,Obihiro,74.26249107275594,False
2022-02-11,37.1392,141.0558,38.73,4.5,Sendai,126.46786360454222,False
2022-02-09,36.3061,142.0416,33.57,4.2,>200 KM of Nearest City,222.23749695770917,False
2022-02-09,36.2656,142.0146,33.3,4.2,>200 KM of Nearest City,218.61795866392976,False
2022-02-09,38.7971,141.697,68.63,4.2,Sendai,93.24789509852549,False
2022-02-07,29.7496,141.276,51.95,4.5,>200 KM of Nearest City,676.8738426085297,False
2022-02-07,38.2192,141.8972,69.88,4.4,Sendai,90.15244197481164,False
2022-02-06,36.0017,139.8716,67.15,4.4,Tokyo,38.322211689481456,False
2022-02-06,40.2384,143.1448,40.95,4.1,>200 KM of Nearest City,294.1671321357903,False
2022-02-06,35.4945,139.6376,67.52,4.4,Tokyo,22.22128281396683,False
2022-02-05,41.5926,142.0664,60.03,4.5,Obihiro,174.54528149054943,False
2022-02-05,31.756,142.3471,10.0,4.3,>200 KM of Nearest City,501.55217033082886,False
2022-02-05,31.7679,142.3733,10.0,4.3,>200 KM of Nearest City,501.58293475883823,False
2022-02-05,31.7759,142.3825,10.0,4.1,>200 KM of Nearest City,501.2256614111158,False
2022-02-05,31.7182,142.455,10.0,4.6,>200 KM of Nearest City,510.1690956084661,False
2022-02-03,35.6836,137.1748,269.19,4.0,Nagoya,60.908576500799455,False
2022-02-02,35.6384,140.8202,42.05,4.4,Tokyo,102.10946522034854,False
2022-02-02,35.9364,140.9542,38.85,4.4,Tokyo,117.10854111906306,False
2022-02-02,36.1178,139.8827,59.76,4.2,Tokyo,50.64339940305109,False
2022-02-01,32.5773,141.7342,10.0,4.6,>200 KM of Nearest City,393.7941733978904,False
2022-02-01,30.8266,142.4464,10.0,4.4,>200 KM of Nearest City,598.2443965672949,False
2022-01-31,39.1693,142.3778,48.14,4.3,Sendai,165.10710565914601,False
2022-01-31,35.4019,139.6054,105.71,4.3,Tokyo,32.91230196957947,False
2022-01-31,35.6118,140.2547,61.22,4.3,Tokyo,51.60046256976149,False
2022-01-31,35.6344,140.9124,47.3,4.3,Tokyo,110.45330537074636,False
2022-01-30,34.7475,135.9508,10.0,3.9,Osaka,41.45867474625904,False
2022-01-29,41.3159,141.0224,96.18,4.0,>200 KM of Nearest City,253.1576692981483,False
2022-01-29,41.3081,142.0965,39.03,4.0,>200 KM of Nearest City,200.91037966535455,False
2022-01-28,39.1939,142.4103,49.48,4.2,Sendai,168.99081307729287,False
2022-01-28,39.1553,142.3933,51.98,4.5,Sendai,165.25171335332524,False
2022-01-28,34.9939,137.3221,294.73,4.2,Nagoya,43.189490038503656,False
2022-01-28,38.209,141.7501,61.12,4.5,Sendai,77.42287837973691,False
2022-01-27,29.5645,130.0573,84.44,4.0,>200 KM of Nearest City,450.01535451947984,False
2022-01-27,34.1312,135.5639,53.81,4.1,Osaka,62.79498789647123,False
2022-01-26,35.9769,140.4839,59.74,4.5,Tokyo,78.24474696701891,False
2022-01-25,36.3177,142.1583,10.0,4.4,>200 KM of Nearest City,232.61387575882816,False
2022-01-24,30.9626,136.0827,501.6,4.5,>200 KM of Nearest City,418.4004771740179,False
2022-01-23,38.4196,138.3715,24.71,4.3,>200 KM of Nearest City,218.2632612068111,False
2022-01-22,32.7336,132.0394,49.29,4.4,Fukuoka,179.1471974641325,False
2022-01-21,32.7029,131.9771,60.26,4.3,Fukuoka,176.2170815771657,False
2022-01-21,32.7042,132.0314,44.84,4.9,Fukuoka,180.325912139899,True
2022-01-21,32.6554,132.0173,52.21,4.1,Fukuoka,182.33827126493057,False
2022-01-21,32.7153,132.0625,46.9,4.5,Fukuoka,182.0683404399896,False
2022-01-21,32.6138,132.0578,43.39,4.3,Fukuoka,188.121516629076,False
2022-01-21,32.6427,131.978,52.36,4.2,Fukuoka,180.19838213979747,False
2022-01-21,32.7084,131.9951,56.77,4.7,Fukuoka,177.254359588814,True
2022-01-21,32.7282,132.0386,39.0,6.3,Fukuoka,179.41203389202417,True
2022-01-21,36.5871,137.4237,228.38,4.0,Nagoya,163.1070033736488,False
2022-01-20,31.4403,142.2459,10.0,4.4,>200 KM of Nearest City,528.3808868371416,False
2022-01-19,31.4205,142.1309,10.0,4.5,>200 KM of Nearest City,525.6984092921601,False
2022-01-18,37.3964,142.0828,29.73,4.4,Sendai,144.1210893813718,False
2022-01-18,32.0416,138.0295,357.6,4.2,>200 KM of Nearest City,364.28201976330973,False
2022-01-18,36.7805,140.6959,32.34,4.2,Tokyo,151.09699656270502,False
2022-01-17,31.0441,142.2498,10.0,4.4,>200 KM of Nearest City,568.4849444628185,False
2022-01-17,32.2113,137.7979,376.52,4.1,>200 KM of Nearest City,340.39629976829497,False
2022-01-16,33.9898,141.6378,10.0,4.2,>200 KM of Nearest City,259.3396352946005,False
2022-01-16,30.7461,131.2533,26.64,4.3,>200 KM of Nearest City,326.9586700340792,False
2022-01-15,42.2137,138.5268,235.87,4.0,>200 KM of Nearest City,390.92836995562567,False
2022-01-15,30.2689,142.4664,10.0,4.6,>200 KM of Nearest City,655.8684467828992,False
2022-01-15,38.3009,141.6637,66.99,4.5,Sendai,69.67103177514748,False
2022-01-14,42.5722,139.9408,169.59,4.2,>200 KM of Nearest City,269.2382004040778,False
2022-01-13,35.3626,140.4523,63.04,4.2,Tokyo,77.83935983927283,False
2022-01-13,31.0376,131.4666,47.3,4.7,>200 KM of Nearest City,301.51816778258734,True
2022-01-13,36.2312,138.1723,204.42,4.3,Tokyo,149.42695412554198,False
2022-01-12,30.5344,131.1016,35.0,4.8,>200 KM of Nearest City,346.9322078335207,True
2022-01-12,35.4592,140.4862,47.42,4.2,Tokyo,76.2831772390417,False
2022-01-11,31.9082,137.84,380.35,4.2,>200 KM of Nearest City,374.0986910825246,False
